测试结果               职业分类               职业项                                                          所需专业及代码            
ENTJ
              商业                                                                              
                                      经济学家                                                         金融学类0203，金融学020301，
                                      翻译
                                                          英语050201，应用外语660156
                   创造性的职业                                                                          
                                      摄影师                                                          摄影130404           
                                      富有创造力的作家                                                     电影学130303，戏剧影视文学130
                                      艺术家                                                          艺术学理论类1301，艺术设计学130
                                      演员／舞蹈家                                                       音乐与舞蹈学类1302，舞蹈表演130
                                      音乐家                                                          音乐与舞蹈学类1302，音乐学1302
                                      代理人                                                          
                                      发明家                                                          
                                      信息图表设计者
                                                     计算机0809，软件工程080902，
INTJ
                                                                                              
                   商业／金融                                                                           
                                      电信安全                                                         电信工程及管理080715，程控交换技
                                      经济学家                                                         金融学类0203，金融学020301，
                                      国际银行家                                                        金融学类0203，金融学020301，
                                      药物研究员                                                        药学类其他专业630399，蒙药学63
                                      财务计划人                                                        财务会计类其他专业620299，财务会
                                      投资银行家                                                        金融学类0203，金融学020301，
                                      管理顾问：电脑／信息服务，营销，机构重组
                                        计算机0809，软件工程080902，
                   科技                                                                              
                                      科学家／科学研究员                                                    
                                      技术人员：电力／电子                                                   电子807，通信类5903      
                                      设计工程师                                                        艺术学理论类1301，艺术设计学130
                                      宇航员                                                          
                                      电脑程序员                                                        计算机0809，软件工程080902 
                                      环境规划人                                                        环境工程082502，环保类6001 
                                      生物医学研究员／工程师                                                  生物医学100102，生物医学科学10
                                      电脑系统分析员                                                      计算机0809，软件工程080902，
                                      操作研究分析员                                                      计算机0809，软件工程080902 
                                      信息服务开发人                                                      计算机0809，软件工程080902 
                                      软件和系统研究员和开发员                                                 计算机0809，软件工程080902，
                                      网络一体化专家(电信业)                                                 计算机0809，软件工程080902 
                                      信息服务——新业务开发人
                                                计算机0809，软件工程080902 
                   教育                                                                              
                                      教师：大学                                                        教育学04，教育学类0401，教育学0
                                      学习课程设计人                                                      
                                      行政管理人                                                        行政管理120402，行政管理6502
                                      数学家
                                                         数学类0701            
                   健康护理／医药                                                                         
                                      精神病学家                                                        精神医学100205         
                                      心理学家                                                         应用心理学071102，心理学类071
