"测试结果"	"职业分类"	"职业项"	"所需专业及代码"
		"汽车部件零售商"	"机械设计5801，汽车类5804，汽车造型技术580416，汽车改装技术580404，市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"商业家
"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
"ISTJ
"			
	"商业"		
		"审计员"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120208"
		"公司经理"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120101"
		"会计"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120209"
		"管理者／监督人"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120101"
		"文字信息处理专家"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
		"效率专家／效率分析者"	
		"保险业主(保险商)"	"保险学020303，保险实务620107，机动车保险实务620121，法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101，金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"后勤供给经理"	"物流管理与工程类1206，物流管理120601，物流工程120602，物流管理620505"
		"制定规章制度的官员"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120101"
		"信息总管"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
		"会计／保险统计员
"	"财务会计类其他专业620299，财务会计类6202，财务管理120204，会计学120203，金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
	"销售／服务"		
		"警察局高级职员／侦探"	
		"情报检索服务社代理人"	
		"政府雇员"	
		"陆军军官"	
		"管教人员"	
		"房地产代理商"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"体育设备／商品销售商"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"教养所所长
"	
	"金融"		
		"银行查帐员"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120203，金融数学020305"
		"投资担保人"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120203，金融数学020305"
		"税收监察员"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120203，金融数学020305"
		"预算分析员"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120203，金融数学020305"
		"股票经纪人"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"房地产策划"	"工商企业管理620501，信息传播与策划670312，文化创意与策划660153，广告策划与营销620407"
		"信贷分析员
"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120208"
	"教育"		"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"学校校长"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"教师：技术／工业／数学／物理"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"图书管理员"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"管理者
"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
	"法律／技术"		
